jogo,jogo_original_fonte,espn_event_id,team,team_espn,team_norm,source_url,collected_at,stat_foulsCommitted,stat_yellowCards,stat_redCards,stat_offsides,stat_wonCorners,stat_saves,stat_possessionPct,stat_totalShots,stat_shotsOnTarget,stat_shotPct,stat_penaltyKickGoals,stat_penaltyKickShots,stat_accuratePasses,stat_totalPasses,stat_passPct,stat_accurateCrosses,stat_totalCrosses,stat_crossPct,stat_totalLongBalls,stat_accurateLongBalls,stat_longballPct,stat_blockedShots,stat_effectiveTackles,stat_totalTackles,stat_tacklePct,stat_interceptions,stat_effectiveClearance,stat_totalClearance,source_file,temporal_status
63,63,760476,Irã,Iran,ira,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760476,2026-07-20T17:27:34.951507+00:00,16,4,0,3,2,2,38.6,13,4,0.3,0,1,281,367,0.8,1,10,0.1,66,29,0.4,3,17,22,0.8,8,32,32,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760476__a9b67fe45fc186e1.json,POST_MATCH_BACKFILLED_FACT
64,64,760477,Bélgica,Belgium,belgica,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760477,2026-07-20T17:27:38.935644+00:00,7,0,0,1,8,1,54.5,35,10,0.3,0,0,462,525,0.9,6,16,0.4,46,28,0.6,12,8,13,0.6,10,27,27,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760477__8bf313408614375a.json,POST_MATCH_BACKFILLED_FACT
64,64,760477,Nova Zelândia,New Zealand,nova zelandia,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760477,2026-07-20T17:27:38.935434+00:00,10,2,0,1,5,5,45.5,6,2,0.3,0,0,369,436,0.8,2,17,0.1,38,16,0.4,1,6,10,0.6,6,35,35,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760477__8bf313408614375a.json,POST_MATCH_BACKFILLED_FACT
65,65,760478,Arábia Saudita,Saudi Arabia,arabia saudita,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760478,2026-07-20T17:27:25.183219+00:00,16,3,0,0,2,2,49.0,7,3,0.4,0,0,359,444,0.8,3,11,0.3,50,21,0.4,3,15,29,0.5,11,25,25,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760478__95e982dbde2f1fbf.json,POST_MATCH_BACKFILLED_FACT
65,65,760478,Cabo Verde,Cape Verde,cabo verde,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760478,2026-07-20T17:27:25.182899+00:00,10,1,0,2,4,3,51.0,15,2,0.1,0,0,381,451,0.8,2,18,0.1,55,29,0.5,5,12,15,0.8,13,29,29,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760478__95e982dbde2f1fbf.json,POST_MATCH_BACKFILLED_FACT
66,66,760479,Espanha,Spain,espanha,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760479,2026-07-20T17:27:30.470767+00:00,14,1,0,2,6,2,66.9,6,1,0.2,0,0,553,622,0.9,3,12,0.3,34,18,0.5,1,10,17,0.6,9,23,23,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760479__db85ba9932920a38.json,POST_MATCH_BACKFILLED_FACT
66,66,760479,Uruguai,Uruguay,uruguai,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760479,2026-07-20T17:27:30.470375+00:00,14,3,1,5,1,0,33.1,5,1,0.2,0,0,228,301,0.8,1,16,0.1,43,15,0.3,1,15,25,0.6,14,14,14,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760479__db85ba9932920a38.json,POST_MATCH_BACKFILLED_FACT
67,67,760485,Inglaterra,England,inglaterra,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760485,2026-07-20T17:27:46.104117+00:00,13,1,0,4,7,2,67.1,17,6,0.4,0,0,490,558,0.9,4,25,0.2,36,20,0.6,3,17,18,0.9,5,20,20,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760485__a8072f9d6b11f1d8.json,POST_MATCH_BACKFILLED_FACT
67,67,760485,Panamá,Panama,panama,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760485,2026-07-20T17:27:46.103886+00:00,16,2,0,4,3,4,32.9,13,2,0.2,0,0,202,268,0.8,3,9,0.3,54,25,0.5,3,11,16,0.7,6,34,34,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760485__a8072f9d6b11f1d8.json,POST_MATCH_BACKFILLED_FACT
68,68,760480,Croácia,Croatia,croacia,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760480,2026-07-20T17:27:42.317215+00:00,9,1,0,1,3,0,53.3,8,4,0.5,0,0,477,523,0.9,3,15,0.2,38,16,0.4,2,8,14,0.6,4,23,23,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760480__1847365633ee1b09.json,POST_MATCH_BACKFILLED_FACT
68,68,760480,Gana,Ghana,gana,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760480,2026-07-20T17:27:42.317406+00:00,13,1,0,2,2,2,46.7,6,1,0.2,0,0,402,455,0.9,3,12,0.3,39,18,0.5,2,7,13,0.5,9,11,11,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760480__1847365633ee1b09.json,POST_MATCH_BACKFILLED_FACT
69,69,760484,Argélia,Algeria,argelia,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760484,2026-07-20T17:28:00.509582+00:00,3,0,0,1,0,1,65.0,12,5,0.4,0,0,706,754,0.9,0,5,0.0,44,26,0.6,2,5,11,0.5,4,18,18,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760484__a203d6b692c8400c.json,POST_MATCH_BACKFILLED_FACT
69,69,760484,Áustria,Austria,austria,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760484,2026-07-20T17:28:00.509769+00:00,7,1,0,3,3,2,35.0,10,3,0.3,0,0,346,396,0.9,3,13,0.2,32,14,0.4,1,4,11,0.4,10,19,19,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760484__a203d6b692c8400c.json,POST_MATCH_BACKFILLED_FACT
70,70,760483,Argentina,Argentina,argentina,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760483,2026-07-20T17:27:56.019950+00:00,7,0,0,3,6,0,73.3,12,4,0.3,0,1,737,801,0.9,3,5,0.6,25,15,0.6,1,5,14,0.4,12,9,9,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760483__6993486901030802.json,POST_MATCH_BACKFILLED_FACT
70,70,760483,Jordânia,Jordan,jordania,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760483,2026-07-20T17:27:56.019516+00:00,13,3,0,1,2,1,26.7,5,1,0.2,0,0,228,285,0.8,2,7,0.3,36,14,0.4,2,8,16,0.5,19,13,13,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760483__6993486901030802.json,POST_MATCH_BACKFILLED_FACT
71,71,760481,Colômbia,Colombia,colombia,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760481,2026-07-20T17:27:49.671057+00:00,12,1,0,3,5,2,54.6,24,6,0.3,0,0,485,544,0.9,3,11,0.3,46,25,0.5,7,8,15,0.5,6,16,16,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760481__e1521b0998d8a052.json,POST_MATCH_BACKFILLED_FACT
71,71,760481,Portugal,Portugal,portugal,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760481,2026-07-20T17:27:49.671260+00:00,6,0,0,2,2,6,45.4,13,2,0.2,0,0,405,446,0.9,2,13,0.2,29,20,0.7,4,5,9,0.6,13,22,22,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760481__e1521b0998d8a052.json,POST_MATCH_BACKFILLED_FACT
72,72,760482,RD Congo,Congo DR,rd congo,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760482,2026-07-20T17:27:53.491635+00:00,6,3,0,3,2,1,57.6,19,4,0.2,0,1,400,485,0.8,6,22,0.3,60,28,0.5,1,13,20,0.7,7,25,25,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760482__ecb662500a79bebd.json,POST_MATCH_BACKFILLED_FACT
72,72,760482,Uzbequistão,Uzbekistan,uzbequistao,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760482,2026-07-20T17:27:53.491853+00:00,16,2,0,1,4,1,42.4,3,1,0.3,0,0,269,355,0.8,2,16,0.1,59,21,0.4,0,18,29,0.6,12,38,38,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760482__ecb662500a79bebd.json,POST_MATCH_BACKFILLED_FACT
73,73,760486,África do Sul,South Africa,africa do sul,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760486,2026-07-20T17:28:04.610988+00:00,10,0,0,1,1,5,58.4,6,1,0.2,0,0,466,554,0.8,2,7,0.3,72,31,0.4,1,13,22,0.6,15,33,33,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760486__753b607fbe8b2671.json,POST_MATCH_BACKFILLED_FACT
73,73,760486,Canadá,Canada,canada,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760486,2026-07-20T17:28:04.611186+00:00,16,2,0,0,4,1,41.6,12,7,0.6,0,0,298,379,0.8,5,13,0.4,31,15,0.5,0,15,20,0.8,8,16,16,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760486__753b607fbe8b2671.json,POST_MATCH_BACKFILLED_FACT
74,74,760489,Alemanha,Germany,alemanha,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760489,2026-07-20T17:28:13.595419+00:00,18,2,0,4,16,2,75.6,21,6,0.3,0,0,725,805,0.9,9,55,0.2,40,27,0.7,8,7,13,0.5,4,23,23,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760489__a45988eff1fee296.json,POST_MATCH_BACKFILLED_FACT
74,74,760489,Paraguai,Paraguay,paraguai,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760489,2026-07-20T17:28:13.595643+00:00,12,2,0,1,6,6,24.4,7,3,0.4,0,0,160,255,0.6,6,21,0.3,78,20,0.3,2,20,33,0.6,13,55,55,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760489__a45988eff1fee296.json,POST_MATCH_BACKFILLED_FACT
75,75,760488,Marrocos,Morocco,marrocos,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760488,2026-07-20T17:28:18.168279+00:00,15,1,0,0,8,1,70.1,11,5,0.5,0,0,801,879,0.9,4,18,0.2,48,21,0.4,2,14,19,0.7,11,34,34,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760488__ab0489c958e39fcf.json,POST_MATCH_BACKFILLED_FACT
75,75,760488,Países Baixos,Netherlands,paises baixos,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760488,2026-07-20T17:28:18.168091+00:00,18,0,0,3,5,5,29.9,6,2,0.3,0,0,292,371,0.8,3,10,0.3,47,16,0.3,3,10,19,0.5,11,22,22,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760488__ab0489c958e39fcf.json,POST_MATCH_BACKFILLED_FACT
76,76,760487,Brasil,Brazil,brasil,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760487,2026-07-20T17:28:08.931254+00:00,4,2,0,1,6,1,68.6,19,7,0.4,0,0,625,682,0.9,10,39,0.3,45,21,0.5,6,7,12,0.6,9,19,19,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760487__ea665ebb992c3f8a.json,POST_MATCH_BACKFILLED_FACT
76,76,760487,Japão,Japan,japao,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760487,2026-07-20T17:28:08.931613+00:00,13,3,0,0,2,4,31.4,5,2,0.4,0,0,260,313,0.8,2,11,0.2,45,24,0.5,2,4,10,0.4,6,45,45,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760487__ea665ebb992c3f8a.json,POST_MATCH_BACKFILLED_FACT
77,77,760492,França,France,franca,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760492,2026-07-20T17:28:24.437416+00:00,14,0,0,3,9,3,61.0,25,12,0.5,0,0,484,551,0.9,4,17,0.2,36,17,0.5,4,7,13,0.5,5,23,23,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760492__b040b94346951018.json,POST_MATCH_BACKFILLED_FACT
77,77,760492,Suécia,Sweden,suecia,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760492,2026-07-20T17:28:24.437629+00:00,10,0,0,1,1,9,39.0,8,3,0.4,0,0,278,350,0.8,3,11,0.3,45,11,0.2,1,9,13,0.7,12,26,26,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760492__b040b94346951018.json,POST_MATCH_BACKFILLED_FACT
78,78,760490,Costa do Marfim,Ivory Coast,costa do marfim,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760490,2026-07-20T17:28:20.360347+00:00,6,0,0,2,14,1,47.0,14,5,0.4,0,0,339,401,0.8,7,29,0.2,38,17,0.4,1,18,24,0.8,4,11,11,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760490__13389cf9e48c7796.json,POST_MATCH_BACKFILLED_FACT
78,78,760490,Noruega,Norway,noruega,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760490,2026-07-20T17:28:20.360697+00:00,7,1,0,2,3,4,53.0,9,4,0.4,0,0,415,474,0.9,5,10,0.5,32,16,0.5,3,11,19,0.6,5,37,37,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760490__13389cf9e48c7796.json,POST_MATCH_BACKFILLED_FACT
79,79,760491,Equador,Ecuador,equador,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760491,2026-07-20T17:28:27.661217+00:00,14,3,1,1,8,1,57.2,7,1,0.1,0,0,341,410,0.8,3,25,0.1,53,17,0.3,1,8,11,0.7,6,19,19,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760491__d8e1c1f37752be35.json,POST_MATCH_BACKFILLED_FACT
79,79,760491,México,Mexico,mexico,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760491,2026-07-20T17:28:27.661034+00:00,10,0,0,0,3,1,42.8,15,3,0.2,0,0,248,316,0.8,4,7,0.6,58,27,0.5,3,5,10,0.5,7,39,39,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760491__d8e1c1f37752be35.json,POST_MATCH_BACKFILLED_FACT
80,80,760495,Inglaterra,England,inglaterra,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760495,2026-07-20T17:28:32.238693+00:00,10,1,0,0,5,1,59.7,16,7,0.4,0,0,468,517,0.9,9,43,0.2,33,19,0.6,3,6,11,0.5,7,23,23,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760495__cd857b3fed03a451.json,POST_MATCH_BACKFILLED_FACT
80,80,760495,RD Congo,Congo DR,rd congo,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760495,2026-07-20T17:28:32.239039+00:00,12,1,0,4,3,5,40.3,7,2,0.3,0,0,299,365,0.8,1,13,0.1,46,18,0.4,2,8,20,0.4,3,36,36,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760495__cd857b3fed03a451.json,POST_MATCH_BACKFILLED_FACT
81,81,760494,Bósnia e Herzegovina,Bosnia-Herzegovina,bosnia e herzegovina,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760494,2026-07-20T17:28:39.212623+00:00,13,1,0,0,3,0,51.6,10,3,0.3,0,0,365,447,0.8,0,13,0.0,50,12,0.2,3,12,15,0.8,7,26,26,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760494__97669be123b29d65.json,POST_MATCH_BACKFILLED_FACT
81,81,760494,Estados Unidos,United States,estados unidos,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760494,2026-07-20T17:28:39.212415+00:00,7,0,1,3,4,3,48.4,8,2,0.3,0,0,349,415,0.8,3,14,0.2,42,17,0.4,2,8,12,0.7,7,28,28,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760494__97669be123b29d65.json,POST_MATCH_BACKFILLED_FACT
82,82,760493,Bélgica,Belgium,belgica,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760493,2026-07-20T17:28:35.552055+00:00,22,1,0,2,4,3,52.3,19,5,0.3,0,1,602,701,0.9,7,26,0.3,50,25,0.5,5,5,12,0.4,8,28,28,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760493__082ed0405ec7dac8.json,POST_MATCH_BACKFILLED_FACT
82,82,760493,Senegal,Senegal,senegal,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760493,2026-07-20T17:28:35.552260+00:00,12,1,0,2,2,3,47.7,19,5,0.3,0,0,536,639,0.8,5,22,0.2,84,34,0.4,3,4,12,0.3,11,31,31,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760493__082ed0405ec7dac8.json,POST_MATCH_BACKFILLED_FACT
83,83,760496,Croácia,Croatia,croacia,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760496,2026-07-20T17:28:46.138344+00:00,12,2,0,4,5,2,39.6,13,6,0.5,0,0,312,370,0.8,7,22,0.3,42,18,0.4,2,11,22,0.5,10,19,19,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760496__07dd5583dc09153c.json,POST_MATCH_BACKFILLED_FACT
83,83,760496,Portugal,Portugal,portugal,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760496,2026-07-20T17:28:46.138151+00:00,6,1,0,1,9,5,60.4,15,3,0.2,0,1,533,585,0.9,6,20,0.3,39,19,0.5,4,9,19,0.5,5,19,19,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760496__07dd5583dc09153c.json,POST_MATCH_BACKFILLED_FACT
84,84,760497,Áustria,Austria,austria,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760497,2026-07-20T17:28:43.565212+00:00,15,1,0,5,0,6,35.6,5,0,0.0,0,0,285,347,0.8,3,13,0.2,37,14,0.4,1,8,16,0.5,6,21,21,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760497__99b7246a378a0d17.json,POST_MATCH_BACKFILLED_FACT
84,84,760497,Espanha,Spain,espanha,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760497,2026-07-20T17:28:43.565020+00:00,8,0,0,2,9,0,64.4,23,10,0.4,0,0,570,629,0.9,7,21,0.3,35,23,0.7,7,12,19,0.6,6,15,15,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760497__99b7246a378a0d17.json,POST_MATCH_BACKFILLED_FACT
85,85,760498,Argélia,Algeria,argelia,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760498,2026-07-20T17:28:50.770485+00:00,12,2,0,2,2,2,55.5,8,2,0.3,0,0,478,563,0.8,1,6,0.2,63,29,0.5,3,9,21,0.4,10,14,14,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760498__988005045feef35a.json,POST_MATCH_BACKFILLED_FACT
85,85,760498,Suíça,Switzerland,suica,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760498,2026-07-20T17:28:50.770077+00:00,10,0,0,0,4,2,44.5,11,5,0.5,0,0,355,438,0.8,4,14,0.3,52,21,0.4,2,14,20,0.7,17,23,23,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760498__988005045feef35a.json,POST_MATCH_BACKFILLED_FACT
86,86,760500,Argentina,Argentina,argentina,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760500,2026-07-20T17:28:56.635550+00:00,13,1,0,3,8,3,63.6,22,10,0.5,0,0,779,850,0.9,6,15,0.4,39,25,0.6,7,13,22,0.6,9,24,24,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760500__5b5fe61a991d9782.json,POST_MATCH_BACKFILLED_FACT
86,86,760500,Cabo Verde,Cape Verde,cabo verde,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760500,2026-07-20T17:28:56.635900+00:00,12,1,0,2,8,8,36.4,16,5,0.3,0,0,409,476,0.9,5,20,0.3,51,23,0.5,6,7,19,0.4,9,26,26,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760500__5b5fe61a991d9782.json,POST_MATCH_BACKFILLED_FACT
87,87,760501,Colômbia,Colombia,colombia,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760501,2026-07-20T17:29:01.256199+00:00,14,2,0,2,3,0,60.7,20,8,0.4,0,0,532,586,0.9,5,15,0.3,55,32,0.6,4,8,12,0.7,5,24,24,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760501__ca3aa2cb902d9e6f.json,POST_MATCH_BACKFILLED_FACT
87,87,760501,Gana,Ghana,gana,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760501,2026-07-20T17:29:01.256400+00:00,10,3,0,0,2,7,39.3,8,0,0.0,0,0,312,376,0.8,2,15,0.1,46,9,0.2,5,7,13,0.5,5,11,11,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760501__ca3aa2cb902d9e6f.json,POST_MATCH_BACKFILLED_FACT
88,88,760499,Austrália,Australia,australia,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760499,2026-07-20T17:28:54.509848+00:00,12,0,0,0,4,3,41.7,16,1,0.1,0,0,403,505,0.8,7,25,0.3,58,20,0.3,9,7,10,0.7,9,31,31,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760499__e5a581f3ce01c425.json,POST_MATCH_BACKFILLED_FACT
88,88,760499,Egito,Egypt,egito,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760499,2026-07-20T17:28:54.510063+00:00,14,2,0,3,7,1,58.3,14,3,0.2,0,0,613,722,0.8,6,24,0.3,77,36,0.5,6,7,15,0.5,8,37,37,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760499__e5a581f3ce01c425.json,POST_MATCH_BACKFILLED_FACT
89,90,760503,França,France,franca,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760503,2026-07-20T17:29:08.545872+00:00,11,3,0,0,12,1,75.9,15,5,0.3,0,1,510,569,0.9,1,22,0.0,39,23,0.6,4,7,13,0.5,10,27,27,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760503__0e47b5f9610fbd65.json,POST_MATCH_BACKFILLED_FACT
89,90,760503,Paraguai,Paraguay,paraguai,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760503,2026-07-20T17:29:08.545545+00:00,13,0,0,0,2,4,24.1,5,1,0.0,0,0,98,183,0.5,0,5,0.0,55,12,0.2,1,21,29,0.7,14,21,21,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760503__0e47b5f9610fbd65.json,POST_MATCH_BACKFILLED_FACT
90,89,760502,Canadá,Canada,canada,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760502,2026-07-20T17:29:05.515943+00:00,24,4,0,2,11,1,44.7,10,3,0.3,0,0,272,359,0.8,8,30,0.3,31,12,0.4,3,9,18,0.5,5,10,10,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760502__ec647410a643c84f.json,POST_MATCH_BACKFILLED_FACT
90,89,760502,Marrocos,Morocco,marrocos,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760502,2026-07-20T17:29:05.516163+00:00,14,4,0,3,1,3,55.3,5,4,0.8,0,0,388,473,0.8,1,5,0.2,51,17,0.3,0,9,13,0.7,9,47,47,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760502__ec647410a643c84f.json,POST_MATCH_BACKFILLED_FACT
91,91,760504,Brasil,Brazil,brasil,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760504,2026-07-20T17:29:10.729197+00:00,7,1,0,1,5,3,33.6,14,4,0.3,0,2,279,331,0.8,1,16,0.1,39,17,0.4,4,10,23,0.4,11,21,21,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760504__86e4962675f26ea2.json,POST_MATCH_BACKFILLED_FACT
91,91,760504,Noruega,Norway,noruega,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760504,2026-07-20T17:29:10.729399+00:00,6,0,0,1,5,4,66.4,9,5,0.6,0,0,618,681,0.9,1,13,0.1,54,29,0.5,1,11,14,0.8,6,18,18,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760504__86e4962675f26ea2.json,POST_MATCH_BACKFILLED_FACT
92,92,760505,Inglaterra,England,inglaterra,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760505,2026-07-20T17:29:14.125680+00:00,7,4,1,0,2,3,33.1,6,5,0.8,0,1,195,244,0.8,1,4,0.3,44,21,0.5,0,9,18,0.5,4,49,49,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760505__40e882ee37eedaba.json,POST_MATCH_BACKFILLED_FACT
92,92,760505,México,Mexico,mexico,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760505,2026-07-20T17:29:14.125496+00:00,14,2,0,1,12,2,66.9,20,5,0.3,0,1,418,453,0.9,13,52,0.3,40,28,0.7,7,7,16,0.4,7,13,13,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760505__40e882ee37eedaba.json,POST_MATCH_BACKFILLED_FACT
93,93,760506,Espanha,Spain,espanha,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760506,2026-07-20T17:29:17.886773+00:00,13,1,0,1,7,2,55.4,15,6,0.4,0,0,467,530,0.9,1,16,0.1,33,16,0.5,3,13,18,0.7,6,13,13,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760506__adcc4d1ca185e129.json,POST_MATCH_BACKFILLED_FACT
93,93,760506,Portugal,Portugal,portugal,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760506,2026-07-20T17:29:17.886593+00:00,9,2,0,2,3,5,44.6,10,2,0.2,0,0,357,427,0.8,4,13,0.3,52,23,0.4,3,9,14,0.6,7,23,23,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760506__adcc4d1ca185e129.json,POST_MATCH_BACKFILLED_FACT
94,94,760507,Bélgica,Belgium,belgica,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760507,2026-07-20T17:29:22.163275+00:00,9,0,0,1,5,1,44.1,15,7,0.5,0,0,334,414,0.8,5,15,0.3,60,18,0.3,4,10,22,0.5,9,18,18,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760507__568652a67e59fd0e.json,POST_MATCH_BACKFILLED_FACT
94,94,760507,Estados Unidos,United States,estados unidos,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760507,2026-07-20T17:29:22.163073+00:00,11,2,0,0,3,3,55.9,7,2,0.3,0,0,459,527,0.9,2,11,0.2,36,19,0.5,0,9,20,0.5,9,23,23,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760507__568652a67e59fd0e.json,POST_MATCH_BACKFILLED_FACT
