ID jogo;Data;Jogo;Jogador;Seleção;Tipo de desempenho;Detalhe pesquisado;Fonte
65;2026-06-26;Cabo Verde 0 x 0 Arábia Saudita;Al-Amri;Arábia Saudita;Bloqueio decisivo;"Fez bloqueio importante em finalização de Wagner Pina aos 86. | gols: 0; assistências: 0";https://www.theguardian.com/football/live/2026/jun/26/cape-verde-v-saudi-arabia-world-cup-2026-live
65;2026-06-26;Cabo Verde 0 x 0 Arábia Saudita;Firas Al-Buraikan;Arábia Saudita;Advertido;"Cartão amarelo aos 90+3 por falta no meio-campo. | gols: 0; assistências: 0; amarelos: 1.0";https://www.theguardian.com/football/live/2026/jun/26/cape-verde-v-saudi-arabia-world-cup-2026-live
65;2026-06-26;Cabo Verde 0 x 0 Arábia Saudita;Mohammed Al-Owais;Arábia Saudita;Defesa importante;"Defendeu chance clara de Laros Duarte em 1 contra 1 aos 74. | gols: 0; assistências: 0; defesas/pênaltis: defesa em chance clara";https://www.theguardian.com/football/live/2026/jun/26/cape-verde-v-saudi-arabia-world-cup-2026-live
65;2026-06-26;Cabo Verde 0 x 0 Arábia Saudita;Nasser Al-Dawsari;Arábia Saudita;Advertido;"Cartão amarelo aos 66 por parar contra-ataque de Cabo Verde. | gols: 0; assistências: 0; amarelos: 1.0";https://www.theguardian.com/football/live/2026/jun/26/cape-verde-v-saudi-arabia-world-cup-2026-live
65;2026-06-26;Cabo Verde 0 x 0 Arábia Saudita;Garry Rodrigues;Cabo Verde;Impacto misto;"Entrou no 2º tempo; teve participação em contra-ataques, mas uma transição aos 90+5 desacelerou e terminou com finalização para fora. | gols: 0; assistências: 0";https://www.theguardian.com/football/live/2026/jun/26/cape-verde-v-saudi-arabia-world-cup-2026-live
65;2026-06-26;Cabo Verde 0 x 0 Arábia Saudita;Laros Duarte;Cabo Verde;Chance clara desperdiçada;"Entrou no 2º tempo e teve chance 1 contra 1 aos 74, parada por Al-Owais. | gols: 0; assistências: 0";https://www.theguardian.com/football/live/2026/jun/26/cape-verde-v-saudi-arabia-world-cup-2026-live
65;2026-06-26;Cabo Verde 0 x 0 Arábia Saudita;Vozinha;Cabo Verde;Segurança/controle;"Manteve o zero; citado como destaque do torneio e mostrou calma na saída curta, embora tenha tido um lance de domínio inseguro aos 66. | gols: 0; assistências: 0; defesas/pênaltis: clean sheet";https://www.theguardian.com/football/live/2026/jun/26/cape-verde-v-saudi-arabia-world-cup-2026-live
65;2026-06-26;Cabo Verde 0 x 0 Arábia Saudita;Wagner Pina;Cabo Verde;Atuação destacada;"Teve atuação destacada e foi substituído no fim; levou bloqueio importante de Al-Amri em chance aos 86. | gols: 0; assistências: 0";https://www.theguardian.com/football/live/2026/jun/26/cape-verde-v-saudi-arabia-world-cup-2026-live
65;2026-06-26;Cabo Verde 0 x 0 Arábia Saudita;Willy Semedo;Cabo Verde;Melhor em campo citado;"Saiu aos 62; Guardian o chamou, com margem, de melhor jogador em campo até aquele momento. | gols: 0; assistências: 0";https://www.theguardian.com/football/live/2026/jun/26/cape-verde-v-saudi-arabia-world-cup-2026-live
66;2026-06-26;Uruguai 0 x 1 Espanha;Pau Cubarsí;Espanha;Solidez defensiva/sofreu falta perigosa;"Participou da contenção uruguaia; foi alvo da entrada que resultou no vermelho de Canobbio no fim do jogo. | gols: 0; assistências: 0";https://english.ahram.org.eg/WorldCup2026/Article/571662
66;2026-06-26;Uruguai 0 x 1 Espanha;Unai Simón;Espanha;Seguro nos lances-chave;"Defendeu excelente chance de Maxi Araújo no fim do 1º tempo e foi testado em chute de De la Cruz aos 85. | gols: 0; assistências: 0; defesas/pênaltis: defesas importantes";https://www.theguardian.com/football/live/2026/jun/26/uruguay-v-spain-world-cup-2026-live
66;2026-06-26;Uruguai 0 x 1 Espanha;Álex Baena;Espanha;Autor do gol decisivo;"Marcou o único gol aos 42; também recebeu cartão amarelo. | gols: 1; assistências: 0; amarelos: 1.0";https://english.ahram.org.eg/WorldCup2026/Article/571662
66;2026-06-26;Uruguai 0 x 1 Espanha;Agustín Canobbio;Uruguai;Desempenho negativo;"Expulso no fim do jogo; vermelho registrado nos match facts. | gols: 0; assistências: 0; vermelhos: 1.0";https://english.ahram.org.eg/WorldCup2026/Article/571662
66;2026-06-26;Uruguai 0 x 1 Espanha;Fernando Muslera;Uruguai;Desempenho negativo;"Falhou no lance do gol de Baena e foi substituído no intervalo por Sergio Rochet. | gols: 0; assistências: 0";https://www.theguardian.com/football/live/2026/jun/26/uruguay-v-spain-world-cup-2026-live
66;2026-06-26;Uruguai 0 x 1 Espanha;Guillermo Varela;Uruguai;Advertido;"Recebeu cartão amarelo. | gols: 0; assistências: 0; amarelos: 1.0";https://english.ahram.org.eg/WorldCup2026/Article/571662
66;2026-06-26;Uruguai 0 x 1 Espanha;Juan Sanabria;Uruguai;Advertido;"Recebeu cartão amarelo. | gols: 0; assistências: 0; amarelos: 1.0";https://english.ahram.org.eg/WorldCup2026/Article/571662
66;2026-06-26;Uruguai 0 x 1 Espanha;Maxi Araújo;Uruguai;Melhor chance uruguaia;"Teve chance excelente no fim do 1º tempo, defendida por Unai Simón. | gols: 0; assistências: 0";https://www.theguardian.com/football/live/2026/jun/26/uruguay-v-spain-world-cup-2026-live
66;2026-06-26;Uruguai 0 x 1 Espanha;Nicolás de la Cruz;Uruguai;Tentativa ofensiva e cartão;"Testou Unai Simón com chute aos 85; recebeu cartão amarelo. | gols: 0; assistências: 0; amarelos: 1.0";https://english.ahram.org.eg/WorldCup2026/Article/571662 | https://www.theguardian.com/football/live/2026/jun/26/uruguay-v-spain-world-cup-2026-live
66;2026-06-26;Uruguai 0 x 1 Espanha;Sergio Rochet;Uruguai;Entrou no intervalo;"Substituiu Muslera no intervalo após o gol sofrido/falha do titular. | gols: 0; assistências: 0";https://www.theguardian.com/football/live/2026/jun/26/uruguay-v-spain-world-cup-2026-live
67;2026-06-27;Panamá 0 x 2 Inglaterra;Harry Kane;Inglaterra;Gol/recorde;"Marcou de cabeça e chegou a 11 gols em Copas pela Inglaterra. | gols: 1; assistências: 0";https://www.reuters.com/sports/soccer/england-beat-panama-2-0-win-group-l-2026-06-27/
67;2026-06-27;Panamá 0 x 2 Inglaterra;Jordan Pickford;Inglaterra;Defesa importante;"Fez defesa importante em finalização de José Rodríguez no primeiro tempo. | gols: 0; assistências: 0";https://www.reuters.com/sports/soccer/england-beat-panama-2-0-win-group-l-2026-06-27/
67;2026-06-27;Panamá 0 x 2 Inglaterra;Jude Bellingham;Inglaterra;Destaque máximo;"Marcou aos 62 e cruzou para Kane marcar cinco minutos depois. | gols: 1; assistências: 1";https://www.reuters.com/sports/soccer/england-beat-panama-2-0-win-group-l-2026-06-27/
67;2026-06-27;Panamá 0 x 2 Inglaterra;José Rodríguez;Panamá;Ameaça ofensiva;"Obrigou Pickford a trabalhar em finalização no primeiro tempo. | gols: 0; assistências: 0";https://www.reuters.com/sports/soccer/england-beat-panama-2-0-win-group-l-2026-06-27/
67;2026-06-27;Panamá 0 x 2 Inglaterra;Orlando Mosquera;Panamá;Defesas importantes;"Defendeu chute de Rashford no início e esforço de Kane no segundo tempo. | gols: 0; assistências: 0";https://www.reuters.com/sports/soccer/england-beat-panama-2-0-win-group-l-2026-06-27/
68;2026-06-27;Croácia 2 x 1 Gana;Luka Modrić;Croácia;Assistência/controle;"Deu assistência de escanteio para Vlašić e jogou 90 minutos. | gols: 0; assistências: 1";https://www.reuters.com/sports/soccer/vlasic-header-sends-croatia-into-world-cup-knockouts-with-2-1-win-over-ghana-2026-06-27/
68;2026-06-27;Croácia 2 x 1 Gana;Nikola Vlašić;Croácia;Gol decisivo;"Cabeceou o escanteio de Modrić aos 83 minutos e definiu o jogo. | gols: 1; assistências: 0";https://www.reuters.com/sports/soccer/vlasic-header-sends-croatia-into-world-cup-knockouts-with-2-1-win-over-ghana-2026-06-27/
68;2026-06-27;Croácia 2 x 1 Gana;Petar Sučić;Croácia;Gol;"Abriu o placar aos 31 minutos com chute de longa distância. | gols: 1; assistências: 0";https://www.reuters.com/sports/soccer/vlasic-header-sends-croatia-into-world-cup-knockouts-with-2-1-win-over-ghana-2026-06-27/
68;2026-06-27;Croácia 2 x 1 Gana;Antoine Semenyo;Gana;Lesão/risco físico;"Sofreu lesão aparente no tornozelo no fim, mas conseguiu completar o jogo. | gols: 0; assistências: 0";https://www.reuters.com/sports/soccer/vlasic-header-sends-croatia-into-world-cup-knockouts-with-2-1-win-over-ghana-2026-06-27/
68;2026-06-27;Croácia 2 x 1 Gana;Derrick Luckassen;Gana;Gol;"Empatou aos 73 minutos em sua estreia internacional; gol confirmado após VAR. | gols: 1; assistências: 0";https://www.reuters.com/sports/soccer/vlasic-header-sends-croatia-into-world-cup-knockouts-with-2-1-win-over-ghana-2026-06-27/
68;2026-06-27;Croácia 2 x 1 Gana;Ernest Nuamah;Gana;Assistência;"Cobrou a falta que originou o gol de Luckassen. | gols: 0; assistências: 1";https://www.reuters.com/sports/soccer/vlasic-header-sends-croatia-into-world-cup-knockouts-with-2-1-win-over-ghana-2026-06-27/
69;2026-06-27;Argélia 3 x 3 Áustria;Houssem Aouar;Argélia;Assistência/criação;"Arrancou pela esquerda e cruzou para Mahrez marcar o segundo gol argelino. | gols: 0; assistências: 1";https://www.reuters.com/sports/soccer/austria-draw-with-algeria-thriller-reach-knockout-stage-iran-out-2026-06-28/
69;2026-06-27;Argélia 3 x 3 Áustria;Rafik Belghali;Argélia;Gol;"Empatou antes do intervalo com jogada individual e finalização no ângulo. | gols: 1; assistências: 0";https://www.reuters.com/sports/soccer/austria-draw-with-algeria-thriller-reach-knockout-stage-iran-out-2026-06-28/
69;2026-06-27;Argélia 3 x 3 Áustria;Riyad Mahrez;Argélia;Destaque ofensivo;"Marcou o empate aos 60 e fez 3-2 nos acréscimos. | gols: 2; assistências: 0";https://www.reuters.com/sports/soccer/austria-draw-with-algeria-thriller-reach-knockout-stage-iran-out-2026-06-28/
69;2026-06-27;Argélia 3 x 3 Áustria;David Alaba;Áustria;Assistência;"Acertou passe longo que originou o gol de Arnautović. | gols: 0; assistências: 1";https://www.reuters.com/sports/soccer/austria-draw-with-algeria-thriller-reach-knockout-stage-iran-out-2026-06-28/
69;2026-06-27;Argélia 3 x 3 Áustria;Konrad Laimer;Áustria;Assistência;"Escorou a bola para o gol de Sabitzer. | gols: 0; assistências: 1";https://www.reuters.com/sports/soccer/austria-draw-with-algeria-thriller-reach-knockout-stage-iran-out-2026-06-28/
69;2026-06-27;Argélia 3 x 3 Áustria;Marcel Sabitzer;Áustria;Gol;"Recolocou a Áustria na frente aos 55 minutos com chute de primeira. | gols: 1; assistências: 0";https://www.reuters.com/sports/soccer/austria-draw-with-algeria-thriller-reach-knockout-stage-iran-out-2026-06-28/
69;2026-06-27;Argélia 3 x 3 Áustria;Marko Arnautović;Áustria;Gol;"Abriu o placar aos 28 minutos após passe longo de David Alaba. | gols: 1; assistências: 0";https://www.reuters.com/sports/soccer/austria-draw-with-algeria-thriller-reach-knockout-stage-iran-out-2026-06-28/
69;2026-06-27;Argélia 3 x 3 Áustria;Sasa Kalajdžić;Áustria;Gol decisivo;"Saiu do banco e empatou de cabeça aos 96 minutos, garantindo a classificação austríaca. | gols: 1; assistências: 0";https://www.reuters.com/sports/soccer/austria-draw-with-algeria-thriller-reach-knockout-stage-iran-out-2026-06-28/
70;2026-06-27;Jordânia 1 x 3 Argentina;Giovani Lo Celso;Argentina;Gol/destaque;"Abriu o placar aos 19 minutos em cobrança de falta e esteve muito envolvido no início. | gols: 1; assistências: 0";https://www.reuters.com/sports/soccer/seventh-heaven-messi-argentina-beat-jordan-3-1-2026-06-28/
70;2026-06-27;Jordânia 1 x 3 Argentina;Lautaro Martínez;Argentina;Gol;"Converteu pênalti aos 31 minutos e acertou a trave em outra chance. | gols: 1; assistências: 0";https://www.reuters.com/sports/soccer/seventh-heaven-messi-argentina-beat-jordan-3-1-2026-06-28/
70;2026-06-27;Jordânia 1 x 3 Argentina;Lionel Messi;Argentina;Gol/recorde;"Entrou no segundo tempo e marcou de falta aos 80 minutos. | gols: 1; assistências: 0";https://www.reuters.com/sports/soccer/seventh-heaven-messi-argentina-beat-jordan-3-1-2026-06-28/
70;2026-06-27;Jordânia 1 x 3 Argentina;Ehsan Haddad;Jordânia;Assistência;"Cruzou rasteiro da direita para Altamari marcar. | gols: 0; assistências: 1";https://www.reuters.com/sports/soccer/seventh-heaven-messi-argentina-beat-jordan-3-1-2026-06-28/
70;2026-06-27;Jordânia 1 x 3 Argentina;Mousa Altamari;Jordânia;Gol;"Marcou o gol da Jordânia aos 55 minutos. | gols: 1; assistências: 0";https://www.reuters.com/sports/soccer/seventh-heaven-messi-argentina-beat-jordan-3-1-2026-06-28/
70;2026-06-27;Jordânia 1 x 3 Argentina;Nizar Alrashdan;Jordânia;Pênalti cometido;"Foi punido pelo VAR após acertar Leandro Paredes na cabeça, lance que gerou pênalti argentino. | gols: 0; assistências: 0";https://www.reuters.com/sports/soccer/seventh-heaven-messi-argentina-beat-jordan-3-1-2026-06-28/
71;2026-06-27;Colômbia 0 x 0 Portugal;Camilo Vargas;Colômbia;Defesa importante;"Defendeu finalização de Bruno Fernandes em uma das principais chances de Portugal. | gols: 0; assistências: 0";https://elpais.com/america-colombia/2026-06-27/colombia-portugal-en-vivo-el-partido-del-grupo-k-del-mundial-2026.html
71;2026-06-27;Colômbia 0 x 0 Portugal;Davinson Sánchez;Colômbia;Gol anulado;"Cabeceou para o gol nos acréscimos, mas o lance foi anulado por impedimento milimétrico. | gols: 0; assistências: 0";https://elpais.com/america-colombia/2026-06-27/colombia-portugal-en-vivo-el-partido-del-grupo-k-del-mundial-2026.html
71;2026-06-27;Colômbia 0 x 0 Portugal;Gustavo Puerta;Colômbia;Advertido;"Recebeu cartão amarelo aos 86 minutos. | gols: 0; assistências: 0; amarelos: 1";https://elpais.com/america-colombia/2026-06-27/colombia-portugal-en-vivo-el-partido-del-grupo-k-del-mundial-2026.html
71;2026-06-27;Colômbia 0 x 0 Portugal;James Rodríguez;Colômbia;Criação/destaque;"Liderou a criação colombiana e teve atuação destacada no meio-campo. | gols: 0; assistências: 0";https://elpais.com/america-colombia/2026-06-27/colombia-portugal-en-vivo-el-partido-del-grupo-k-del-mundial-2026.html
71;2026-06-27;Colômbia 0 x 0 Portugal;Bruno Fernandes;Portugal;Chance criada;"Finalizou chance clara defendida por Camilo Vargas. | gols: 0; assistências: 0";https://elpais.com/america-colombia/2026-06-27/colombia-portugal-en-vivo-el-partido-del-grupo-k-del-mundial-2026.html
71;2026-06-27;Colômbia 0 x 0 Portugal;Diogo Costa;Portugal;Destaque defensivo;"Foi providencial para segurar o empate e evitou derrota portuguesa em chances colombianas. | gols: 0; assistências: 0";https://www.reuters.com/sports/soccer/colombia-portugal-advance-after-no-bore-draw-miami-2026-06-28/ | https://elpais.com/america-colombia/2026-06-27/colombia-portugal-en-vivo-el-partido-del-grupo-k-del-mundial-2026.html
72;2026-06-27;RD Congo 3 x 1 Uzbequistão;Fiston Mayele;RD Congo;Gol da virada;"Saiu do banco e marcou o gol da virada aos 78 minutos. | gols: 1; assistências: 0";https://www.reuters.com/sports/soccer/dr-congo-seal-place-world-cup-knockouts-with-comeback-win-over-uzbekistan-2026-06-28/
72;2026-06-27;RD Congo 3 x 1 Uzbequistão;Meschack Elia;RD Congo;Participação em gol;"Seu chute bloqueado gerou a bola viva para Mayele virar o jogo. | gols: 0; assistências: 0";https://www.reuters.com/sports/soccer/dr-congo-seal-place-world-cup-knockouts-with-comeback-win-over-uzbekistan-2026-06-28/
72;2026-06-27;RD Congo 3 x 1 Uzbequistão;Nathanael Mbuku;RD Congo;Gol anulado/cartão;"Teve gol anulado após revisão de VAR e recebeu amarelo antes do intervalo. | gols: 0; assistências: 0; amarelos: 1";https://www.reuters.com/sports/soccer/dr-congo-seal-place-world-cup-knockouts-with-comeback-win-over-uzbekistan-2026-06-28/ | https://www.theguardian.com/football/live/2026/jun/27/dr-congo-v-uzbekistan-world-cup-2026-live
72;2026-06-27;RD Congo 3 x 1 Uzbequistão;Yoane Wissa;RD Congo;Destaque máximo;"Sofreu pênalti, converteu a cobrança e marcou novamente nos acréscimos. | gols: 2; assistências: 0";https://www.reuters.com/sports/soccer/dr-congo-seal-place-world-cup-knockouts-with-comeback-win-over-uzbekistan-2026-06-28/
72;2026-06-27;RD Congo 3 x 1 Uzbequistão;Abbosbek Fayzullaev;Uzbequistão;Assistência;"Deu o toque/flick que deixou Shomurodov em condição de finalizar. | gols: 0; assistências: 1";https://www.reuters.com/sports/soccer/dr-congo-seal-place-world-cup-knockouts-with-comeback-win-over-uzbekistan-2026-06-28/
72;2026-06-27;RD Congo 3 x 1 Uzbequistão;Abdukodir Khusanov;Uzbequistão;Pênalti cometido;"Cometeu pênalti sobre Wissa, lance que abriu a reação congolesa. | gols: 0; assistências: 0";https://www.reuters.com/sports/soccer/dr-congo-seal-place-world-cup-knockouts-with-comeback-win-over-uzbekistan-2026-06-28/
72;2026-06-27;RD Congo 3 x 1 Uzbequistão;Eldor Shomurodov;Uzbequistão;Gol;"Abriu o placar aos 10 minutos com toque por cobertura sobre Mpasi. | gols: 1; assistências: 0";https://www.reuters.com/sports/soccer/dr-congo-seal-place-world-cup-knockouts-with-comeback-win-over-uzbekistan-2026-06-28/
73;2026-06-28;África do Sul 0 x 1 Canadá;Alphonso Davies;Canadá;Impacto na etapa final;Entrou no segundo tempo e aumentou a ameaça ofensiva canadense antes do gol nos acréscimos.;https://www.theguardian.com/football/live/2026/jun/28/south-africa-v-canada-world-cup-2026-last-32-live
73;2026-06-28;África do Sul 0 x 1 Canadá;Stephen Eustáquio;Canadá;Gol decisivo;Marcou o gol da vitória aos 90+2, classificando o Canadá para as oitavas de final.;https://www.reuters.com/sports/soccer/canada-score-late-winner-advance-last-16-world-cup-2026-06-28/
76;2026-06-29;Brasil 2-1 Japão;Bruno Guimarães;Brasil;Assistência decisiva;Deu o passe para o gol de Gabriel Martinelli aos 90+6.;https://www.reuters.com/sports/soccer/martinelli-rescue-brazil-edge-japan-2-1-last-32-2026-06-29/ | https://www.sofascore.com/football/match/japan-brazil/YUbsvVb
76;2026-06-29;Brasil 2-1 Japão;Casemiro;Brasil;Gol + MVP + destaque defensivo;Empatou aos 56, foi Player of the Match com Sofascore Rating 8.0, acertou 2/2 finalizações no alvo, teve xG 0.65, xGOT 0.72, 68/76 passes, 7/10 bolas longas, 91 toques, 4 cortes, 2 bloqueios, 1 interceptação, 4 recuperações e 4 duelos vencidos. Recebeu amarelo aos 14 e saiu aos 90+2.;https://www.sofascore.com/news/brazil-2-1-japan-casemiro-leads-late-turnaround | https://www.sofascore.com/football/match/japan-brazil/YUbsvVb
76;2026-06-29;Brasil 2-1 Japão;Danilo;Brasil;Erro + cartão amarelo;Perdeu a bola/errou passe na origem do gol de Kaishu Sano e recebeu cartão amarelo aos 48.;https://www.reuters.com/sports/soccer/martinelli-rescue-brazil-edge-japan-2-1-last-32-2026-06-29/ | https://www.sofascore.com/football/match/japan-brazil/YUbsvVb
76;2026-06-29;Brasil 2-1 Japão;Endrick;Brasil;Impacto saindo do banco;Entrou no intervalo, adicionou energia, registrou uma finalização e três recuperações, ajudando a abrir espaços na defesa japonesa.;https://www.sofascore.com/news/brazil-2-1-japan-casemiro-leads-late-turnaround | https://www.sofascore.com/football/match/japan-brazil/YUbsvVb
76;2026-06-29;Brasil 2-1 Japão;Gabriel Magalhães;Brasil;Assistência;Cruzou/assistiu Casemiro no gol de empate aos 56.;https://www.reuters.com/sports/soccer/martinelli-rescue-brazil-edge-japan-2-1-last-32-2026-06-29/ | https://www.sofascore.com/football/match/japan-brazil/YUbsvVb
76;2026-06-29;Brasil 2-1 Japão;Gabriel Martinelli;Brasil;Gol decisivo;Entrou aos 66 e marcou o gol da vitória aos 90+6, após passe de Bruno Guimarães.;https://www.reuters.com/sports/soccer/martinelli-rescue-brazil-edge-japan-2-1-last-32-2026-06-29/ | https://www.sofascore.com/football/match/japan-brazil/YUbsvVb
76;2026-06-29;Brasil 2-1 Japão;Daichi Kamada;Japão;Cartão amarelo;Recebeu cartão amarelo aos 45.;https://www.sofascore.com/football/match/japan-brazil/YUbsvVb
76;2026-06-29;Brasil 2-1 Japão;Junnosuke Suzuki;Japão;Cartão amarelo;Entrou aos 66 e recebeu cartão amarelo aos 84.;https://www.sofascore.com/football/match/japan-brazil/YUbsvVb
76;2026-06-29;Brasil 2-1 Japão;Kaishu Sano;Japão;Gol + cartão amarelo;"Abriu o placar aos 29 após erro de Danilo; recebeu cartão amarelo aos 12.";https://www.reuters.com/sports/soccer/martinelli-rescue-brazil-edge-japan-2-1-last-32-2026-06-29/ | https://www.sofascore.com/football/match/japan-brazil/YUbsvVb
76;2026-06-29;Brasil 2-1 Japão;Zion Suzuki;Japão;Goleiro destaque;Fez defesa importante em chute de Vinícius Jr., desviando a bola para a trave/poste, mantendo o empate até os acréscimos.;https://www.reuters.com/sports/soccer/martinelli-rescue-brazil-edge-japan-2-1-last-32-2026-06-29/
